Rebalance(time=1481550969127138851, exchange='IEX', name='VXX', holding=0, fairvalue=25.89, Profit=0.0)
Rebalance(time=1481550998971402043, exchange='IEX', name='VXX', holding=0, fairvalue=28.38, Profit=0.0)
Rebalance(time=1481551004623169393, exchange='IEX', name='VXX', holding=0, fairvalue=25.88, Profit=0.0)
Rebalance(time=1481551012864967237, exchange='IEX', name='VXX', holding=0, fairvalue=28.38, Profit=0.0)
Rebalance(time=1481551014524397348, exchange='IEX', name='VXX', holding=0, fairvalue=28.395, Profit=0.0)
Rebalance(time=1481551014814011310, exchange='IEX', name='VXX', holding=0, fairvalue=28.38, Profit=0.0)
Rebalance(time=1481551019173554209, exchange='IEX', name='VXX', holding=0, fairvalue=28.4, Profit=0.0)
Rebalance(time=1481551027203283979, exchange='IEX', name='VXX', holding=0, fairvalue=25.915, Profit=0.0)
Rebalance(time=1481551027213389772, exchange='IEX', name='VXX', holding=0, fairvalue=25.895, Profit=0.0)
Rebalance(time=1481551027214522751, exchange='IEX', name='VXX', holding=0, fairvalue=28.38, Profit=0.0)
Rebalance(time=1481551036936264490, exchange='IEX', name='VXX', holding=0, fairvalue=28.4, Profit=0.0)
Rebalance(time=1481551056424441214, exchange='IEX', name='VXX', holding=0, fairvalue=25.915, Profit=0.0)
Rebalance(time=1481551056444282063, exchange='IEX', name='VXX', holding=0, fairvalue=28.4, Profit=0.0)
Rebalance(time=1481551177331224068, exchange='IEX', name='VXX', holding=0, fairvalue=28.38, Profit=0.0)
Rebalance(time=1481551177334422793, exchange='IEX', name='VXX', holding=0, fairvalue=25.89, Profit=0.0)
Rebalance(time=1481551177338461619, exchange='IEX', name='VXX', holding=0, fairvalue=25.884999999999998, Profit=0.0)
Rebalance(time=1481551177338832523, exchange='IEX', name='VXX', holding=0, fairvalue=25.89, Profit=0.0)
Rebalance(time=1481551205764455059, exchange='IEX', name='VXX', holding=0, fairvalue=25.89, Profit=0.0)
Rebalance(time=1481551223410685528, exchange='IEX', name='VXX', holding=0, fairvalue=25.9, Profit=0.0)
Rebalance(time=1481551223430792831, exchange='IEX', name='VXX', holding=0, fairvalue=25.89, Profit=0.0)
Rebalance(time=1481551223529835923, exchange='IEX', name='VXX', holding=0, fairvalue=25.89, Profit=0.0)
Rebalance(time=1481551224416583260, exchange='IEX', name='VXX', holding=0, fairvalue=25.935000000000002, Profit=0.0)
Rebalance(time=1481551224418950596, exchange='IEX', name='VXX', holding=0, fairvalue=25.950000000000003, Profit=0.0)
Rebalance(time=1481551224420435802, exchange='IEX', name='VXX', holding=0, fairvalue=28.395, Profit=0.0)
Rebalance(time=1481551224421558256, exchange='IEX', name='VXX', holding=0, fairvalue=28.405, Profit=0.0)
