Time,Bid,Ask
20191001 00:04:42.793,1.2288700000000001,1.2289299999999999
20191001 00:04:45.959,1.22888,1.22895
20191001 00:04:46.014,1.2289,1.2289700000000001
20191001 00:04:49.064,1.22891,1.2289700000000001
20191001 00:04:50.766,1.2289,1.2289700000000001
20191001 00:04:51.039,1.22891,1.22898
20191001 00:04:56.946,1.22894,1.22898
20191001 00:05:00.045,1.22891,1.22898
20191001 00:05:03.912,1.2289,1.22898
20191001 00:05:03.966,1.22889,1.22896
20191001 00:05:03.969,1.22888,1.22894
20191001 00:05:04.035,1.2288700000000001,1.22894
20191001 00:05:04.036,1.2288700000000001,1.2289299999999999
20191001 00:05:05.255,1.2288700000000001,1.22894
20191001 00:05:17.355,1.22886,1.22894
20191001 00:05:21.629,1.22885,1.2289299999999999
20191001 00:05:25.989,1.22886,1.22894
20191001 00:05:28.971,1.22885,1.2289299999999999
20191001 00:05:30.034,1.2288700000000001,1.22896
20191001 00:05:30.791,1.2288700000000001,1.2289299999999999
20191001 00:05:31.178,1.22888,1.2289299999999999
20191001 00:05:31.419,1.22888,1.22894
20191001 00:05:31.482,1.2289,1.22895
20191001 00:05:31.484,1.2289,1.2289700000000001
20191001 00:05:41.920,1.22891,1.2289700000000001
20191001 00:05:44.984,1.22891,1.229
20191001 00:05:47.029,1.22892,1.229
20191001 00:05:48.768,1.22891,1.229
20191001 00:05:51.627,1.22892,1.229
20191001 00:05:55.055,1.22891,1.229
20191001 00:05:56.069,1.22891,1.22898
20191001 00:05:56.078,1.2289299999999999,1.22898
20191001 00:05:58.653,1.22894,1.22898
20191001 00:05:59.735,1.2289299999999999,1.22898
20191001 00:06:00.062,1.22891,1.22898
20191001 00:06:05.702,1.22892,1.22898
20191001 00:06:07.825,1.22891,1.229
20191001 00:06:09.256,1.22892,1.229
20191001 00:06:15.458,1.22891,1.229
20191001 00:06:20.345,1.22892,1.229
20191001 00:06:21.301,1.22892,1.22901
20191001 00:06:26.222,1.22892,1.22899
20191001 00:06:26.224,1.2289299999999999,1.229
20191001 00:06:26.536,1.2289299999999999,1.22899
20191001 00:06:26.739,1.22892,1.22899
20191001 00:06:30.017,1.22894,1.22899
20191001 00:06:31.326,1.2289299999999999,1.22899
20191001 00:06:32.741,1.22892,1.22899
20191001 00:06:32.752,1.2289299999999999,1.22899
20191001 00:06:33.762,1.2289299999999999,1.22901
20191001 00:06:45.144,1.22892,1.22901
20191001 00:06:48.750,1.2289299999999999,1.22901
20191001 00:06:49.578,1.22891,1.22902
20191001 00:06:50.286,1.2289299999999999,1.22902
20191001 00:06:50.289,1.2289299999999999,1.229
20191001 00:06:53.392,1.22892,1.22899
20191001 00:07:00.677,1.2289299999999999,1.22899
20191001 00:07:04.965,1.2289299999999999,1.229
20191001 00:07:16.052,1.22892,1.229
20191001 00:07:19.590,1.2289299999999999,1.229
20191001 00:07:20.783,1.22892,1.22901
20191001 00:07:22.346,1.22892,1.229
20191001 00:07:30.511,1.22892,1.22902
20191001 00:07:30.632,1.22892,1.229
20191001 00:07:33.821,1.22892,1.22901
20191001 00:07:35.533,1.2289299999999999,1.22901
20191001 00:07:36.320,1.2289299999999999,1.229
20191001 00:07:36.765,1.22892,1.229
20191001 00:07:37.102,1.2289299999999999,1.229
20191001 00:07:37.553,1.2289700000000001,1.2290299999999998
20191001 00:07:37.557,1.22898,1.22905
20191001 00:07:37.611,1.229,1.22907
20191001 00:07:45.949,1.229,1.2291100000000001
20191001 00:07:46.007,1.22901,1.22908
20191001 00:07:47.786,1.22902,1.22908
20191001 00:07:48.503,1.22901,1.22908
20191001 00:07:48.505,1.229,1.22906
20191001 00:07:49.286,1.22899,1.22906
20191001 00:07:52.016,1.229,1.22906
20191001 00:07:52.019,1.22899,1.22906
20191001 00:07:52.024,1.22898,1.22905
20191001 00:07:52.879,1.22899,1.22906
20191001 00:07:52.939,1.229,1.22906
20191001 00:07:53.386,1.22902,1.22908
20191001 00:07:53.555,1.22902,1.22909
20191001 00:07:59.045,1.2290299999999998,1.22909
20191001 00:08:00.031,1.22902,1.22909
20191001 00:08:08.230,1.22902,1.2291
20191001 00:08:22.281,1.229,1.2291
20191001 00:08:27.356,1.229,1.22912
20191001 00:08:27.683,1.229,1.2291
20191001 00:08:38.913,1.229,1.2291100000000001
20191001 00:08:41.654,1.229,1.2291
20191001 00:08:45.870,1.229,1.22908
20191001 00:08:47.956,1.229,1.22907
20191001 00:08:48.613,1.22902,1.22907
20191001 00:08:51.615,1.22902,1.22906
20191001 00:08:54.452,1.22902,1.22905
20191001 00:08:57.013,1.22902,1.22906
20191001 00:09:01.332,1.22902,1.22908
20191001 00:09:03.333,1.22901,1.22908
20191001 00:09:03.463,1.22901,1.22906
20191001 00:09:17.897,1.22901,1.22907
20191001 00:09:19.118,1.229,1.22906
20191001 00:09:19.121,1.22899,1.22906
