currency,time,bid,ask
EUR/GBP,20190101 22:06:17.645,0.89736,0.90172
EUR/GBP,20190101 22:06:17.699,0.89738,0.90172
EUR/GBP,20190101 22:06:17.898,0.89742,0.90172
EUR/GBP,20190101 22:06:18.045,0.89737,0.90174
EUR/GBP,20190101 22:06:18.180,0.89742,0.90172
EUR/GBP,20190101 22:06:18.314,0.89736,0.90172
EUR/GBP,20190101 22:06:18.327,0.89742,0.90172
EUR/GBP,20190101 22:06:18.399,0.89742,0.90175
EUR/GBP,20190101 22:06:18.477,0.89736,0.90172
EUR/GBP,20190101 22:06:19.036,0.89714,0.90172
EUR/GBP,20190101 22:06:19.286,0.8972,0.90173
EUR/GBP,20190101 22:06:19.340,0.89742,0.90175
EUR/GBP,20190101 22:06:19.569,0.89738,0.9017
EUR/GBP,20190101 22:06:19.572,0.89743,0.90173
EUR/GBP,20190101 22:06:19.781,0.8975,0.90171
EUR/GBP,20190101 22:06:19.845,0.89716,0.9017
EUR/GBP,20190101 22:06:19.857,0.89749,0.90171
EUR/GBP,20190101 22:06:20.009,0.8974,0.9017
EUR/GBP,20190101 22:06:20.297,0.89744,0.90171
EUR/GBP,20190101 22:06:20.299,0.89749,0.90171
EUR/GBP,20190101 22:06:20.304,0.89716,0.90172
EUR/GBP,20190101 22:06:20.729,0.89744,0.90173
EUR/GBP,20190101 22:06:20.733,0.89738,0.9017
EUR/GBP,20190101 22:06:20.788,0.89744,0.90171
EUR/GBP,20190101 22:06:20.792,0.89712,0.9017
EUR/GBP,20190101 22:06:20.798,0.89716,0.9017
EUR/GBP,20190101 22:06:20.802,0.89744,0.90171
EUR/GBP,20190101 22:06:20.806,0.89744,0.90173
EUR/GBP,20190101 22:06:20.862,0.89749,0.90171
EUR/GBP,20190101 22:06:20.865,0.89716,0.9017
EUR/GBP,20190101 22:06:20.869,0.89712,0.9017
EUR/GBP,20190101 22:06:20.873,0.89744,0.90171
EUR/GBP,20190101 22:06:20.882,0.8974,0.9017
EUR/GBP,20190101 22:06:20.937,0.89744,0.90171
EUR/GBP,20190101 22:06:20.940,0.89712,0.9017
EUR/GBP,20190101 22:06:20.945,0.89744,0.90173
EUR/GBP,20190101 22:06:20.950,0.89738,0.9017
EUR/GBP,20190101 22:06:20.952,0.89744,0.90173
EUR/GBP,20190101 22:06:21.007,0.89738,0.9017
EUR/GBP,20190101 22:06:21.012,0.89749,0.90171
EUR/GBP,20190101 22:06:21.074,0.89738,0.9017
EUR/GBP,20190101 22:06:21.081,0.89744,0.90173
EUR/GBP,20190101 22:06:21.088,0.89749,0.90171
EUR/GBP,20190101 22:06:21.146,0.89738,0.9017
EUR/GBP,20190101 22:06:21.159,0.89744,0.90173
EUR/GBP,20190101 22:06:21.213,0.89711,0.90169
EUR/GBP,20190101 22:06:21.222,0.89749,0.90171
EUR/GBP,20190101 22:06:21.227,0.89716,0.90172
EUR/GBP,20190101 22:06:21.282,0.89738,0.9017
EUR/GBP,20190101 22:06:21.290,0.89716,0.9017
EUR/GBP,20190101 22:06:21.296,0.89744,0.90171
EUR/GBP,20190101 22:06:21.297,0.89717,0.9017
EUR/GBP,20190101 22:06:21.349,0.89712,0.9017
EUR/GBP,20190101 22:06:21.354,0.89711,0.90169
EUR/GBP,20190101 22:06:21.358,0.89744,0.90171
EUR/GBP,20190101 22:06:21.362,0.89743,0.90171
EUR/GBP,20190101 22:06:21.363,0.89744,0.90171
